id,surname,first_name,gender,title,profession_verbatim,occupation_group,legion_d_honneur,status,military_status,houseno,houseno_specification,name_old_verbatim,name_new,geo_long,geo_lat
587,Mackau von,Unknown,M,Baron,"Admiral, Senator",Militär,Grand-Croix,Active,Military,7,Unknown,De Caumartin,Rue De Caumartin,2.32824,48.8725
717,Schramm,Unknown,M,Graf,"Divisionsgeneral, Senator",Militär,Grand-Croix,Active,Military,77,Unknown,Louis Le Grand,Rue Louis-le-grand,2.33258,48.8688
4110,Kronowski,Unknown,M,Graf,Oberstlieutenant,Militär,Unknown,Active,Military,44,Unknown,Basse Du Rempart,Unknown,0,0
12,Badens,Unknown,F,Gräfin von,Unknown,Adel,Unknown,Active,Civil,3,Unknown,Ferme,Unknown,0,0
97,Hamel von,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,89,Unknown,De Grenelle,Rue De Lourmel,2.28751,48.8451
112,Ordener,Unknown,M,General Graf,Senator,Adel,Grand Officier,Active,Civil,5,Unknown,De La Révolte,Unknown,0,0
136,Pradel von,Unknown,M,Graf Miglied des Instituts,Unknown,Adel,Officier,Active,Civil,Unknown,Unknown,Unknown,Unknown,0,0
278,Nieuwerkerke von,Unknown,M,Graf,Director des Nationalmuseums,Adel,Officier,Active,Civil,Unknown,Unknown,Au Louvre,Unknown,0,0
287,Adelswaerd,G.,M,Baron von,Secretär der schwedischen Gesandtschaft,Beamte,Unknown,Active,Civil,8,Unknown,De Rumfort,Boulevard Malesherbes,2.31387,48.8798
295,Allemans,Unknown,M,Baron von,Unknown,Adel,Unknown,Active,Civil,153,Unknown,Du Faubourg Saint Honoré,Rue Du Faubourg-saint-honoré,2.31839,48.8699
317,Billing,C.,M,Baron von,Unknown,Adel,Chevalier,Active,Civil,22,Unknown,D' Anjou Saint Honoré,Rue D' Anjou,2.32213,48.8726
331,Brunswick von,Unknown,M,Prinz,Unknown,Adel,Unknown,Active,Civil,17,Unknown,Beaujon,Rue Beaujon,2.29983,48.8751
336,Buttlar von,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,25,Unknown,Vendôme,Place Vendôme,2.32944,48.8675
344,Christophe von,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,29,Unknown,Godot,Rue Godot-de-mauroy,2.32718,48.8717
349,Conrad de la Grange von,Unknown,F,Marquise v,Unknown,Adel,Unknown,Active,Civil,52,Unknown,D' Amsterdam,Rue D' Amsterdam,2.32703,48.8795
351,Cres,Unknown,F,Herzogin,Unknown,Adel,Unknown,Active,Civil,23,Unknown,De La Ville L' Evêque,Rue De La Ville-l' Évèque,2.32088,48.8713
357,Demidoff,Unknown,F,Prinzessin,Unknown,Adel,Unknown,Active,Civil,28,Unknown,De Courcelles,Rue De Courcelles,2.30103,48.8813
370,Dondoukoff-Korsakoff,Unknown,M,Prinz,Secretär der russischen Gesandtschaft,Beamte,Unknown,Active,Civil,4,Unknown,Du Cirque,Rue Du Cirque,2.31542,48.8711
394,Fezensac von,Unknown,M,Graf,Unknown,Adel,Chevalier,Active,Civil,25,Unknown,Du Faubourg Saint Honoré,Rue Du Faubourg-saint-honoré,2.31839,48.8699
421,Guttinguer,Unknown,Unknown,Baron u Baronin,Unknown,Adel,Unknown,Active,Civil,30,Unknown,De Courcelles,Rue De Courcelles,2.30103,48.8813
484,Kärbout,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,54,Unknown,De La Ferme Des Mathurins,Rue Vignon,2.32612,48.8707
485,Kaffendyck,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,21,Unknown,De La Pépinière,Rue De La Pépinière,2.32187,48.8751
486,Kaffendyck,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,21,Unknown,De La Pépinière,Rue De La Pépinière,2.32187,48.8751
492,Kelergié von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,8,Unknown,D' Anjou Saint Honoré,Rue D' Anjou,2.32213,48.8726
502,Potoska von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,12,Unknown,Des Champs Elysées,Avenue Des Champs-élysées,2.30786,48.8697
504,Pozoska,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,15,Unknown,Neuve Des Capucines,Rue Des Capucines,2.32911,48.8691
520,Klein d'Arberg von,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,58,Unknown,Du Faubourg Saint Honoré,Rue Du Faubourg-saint-honoré,2.31839,48.8699
530,Knyff von,Unknown,M,General Baron,Unknown,Adel,Unknown,Active,Civil,134,Unknown,Des Champs Elysées,Avenue Des Champs-élysées,2.30786,48.8697
539,Komeriowski,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,31,Unknown,De Caumartin,Rue De Caumartin,2.32824,48.8725
581,Lövenhielm von,Unknown,M,Graf,Bevollmächtigter Gesandte von Schweden u. Norwegen,Beamte,Grand Officier,Active,Civil,74,Unknown,D' Anjou Saint Honoré,Rue D' Anjou,2.32213,48.8726
595,Mathilde,Unknown,F,Prinzessin,Unknown,Adel,Unknown,Active,Civil,24,Unknown,De Courcelles,Rue De Courcelles,2.30103,48.8813
603,Mözinski,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,4,Unknown,De Castellane,Rue De Castellane,2.32506,48.8723
605,Moltke von,Unknown,M,Graf,Bevollmächtigter u. außerordentlicher Gesandter v. Dänemark,Beamte,Unknown,Active,Civil,88,Unknown,De La Pépinière,Rue De La Pépinière,2.32187,48.8751
622,Neumann von,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,14,Unknown,De Castellane,Rue De Castellane,2.32506,48.8723
629,Toulongeon von,Unknown,M,Marquis,Unknown,Adel,Unknown,Active,Civil,75,Unknown,De Montaigne,Avenue Montaigne,2.30611,48.8667
646,Wächter,Unknown,M,Baron,Gesandter v. Württemberg,Beamte,Unknown,Active,Civil,13,Unknown,D' Aguesseau,Rue D' Aguesseau,2.31963,48.8705
653,Warisken von,Unknown,M,Graf,Unknown,Adel,Unknown,Active,Civil,10,Unknown,Lavoisier,Rue Lavoisier,2.32117,48.8738
668,Schee von,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,25,Unknown,De Montaigne,Rue Jean-mermoz,2.31172,48.8711
685,Well von,Unknown,F,Gräfin,Unknown,Adel,Unknown,Active,Civil,14,Unknown,Duphot,Rue Duphot,2.32551,48.8685
693,Wiecloglokoski,Unknown,M,Graf von Boleslaus,Unknown,Adel,Unknown,Active,Civil,1,Unknown,Lavoisier,Rue Lavoisier,2.32117,48.8738
705,Witte von,Unknown,M,Baron,Gelehrter,Selbständig,Unknown,Active,Civil,52,Unknown,Du Faubourg Saint Honoré,Rue Du Faubourg-saint-honoré,2.31839,48.8699
707,Wolbock,Unknown,M,Baron,Unknown,Adel,Chevalier,Active,Civil,10,Unknown,De Caumartin,Rue De Caumartin,2.32824,48.8725
718,Schreiber,Unknown,M,Baron,Unknown,Adel,Unknown,Active,Civil,13,Unknown,De Monceau,Rue De Monceau,2.31126,48.878
721,Sehee,Unknown,F,Baronin,Unknown,Adel,Unknown,Active,Civil,18,Unknown,Du Cirque,Rue Du Cirque,2.31542,48.8711
745,Schweizer von,Unknown,M,Baron,residierender Minister von Baden,Beamte,Unknown,Active,Civil,26,Unknown,De La Ville L' Evêque,Rue De La Ville-l' Évèque,2.32088,48.8713
